phase,hop,node,energy,valid_neighbors,path
5,2,162,2.89,"[(22, 2.26), (37, 1.94), (43, 2.19), (55, 1.93), (61, 2.07), (87, 1.83), (103, 2.35), (107, 2.17), (108, 1.98), (110, 2.46), (112, 2.36), (135, 2.35), (160, 1.89), (172, 2.32), (185, 2.39)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
5,3,110,2.46,"[(2, 2.56), (13, 2.74), (22, 2.26), (31, 2.61), (103, 2.35), (127, 2.61), (135, 2.35), (147, 2.47), (160, 1.89), (172, 2.32), (185, 2.39), (190, 2.84), (199, 2.34)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
5,4,190,2.84,"[(2, 2.56), (31, 2.61), (41, 2.81), (58, 3.22), (78, 1.87), (101, 3.18), (124, 3.23), (133, 2.57), (149, 2.89)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
5,5,124,3.23,"[(21, 1.97), (78, 1.87), (80, 2.37), (83, 2.52), (89, 2.54), (106, 2.44), (133, 2.57), (153, 2.28), (184, 2.34), (196, 2.77)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
5,6,196,2.77,"[(12, 3.66), (21, 1.97), (60, 2.94), (81, 2.18), (122, 2.49), (155, 2.26), (168, 1.9), (193, 2.65)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
5,7,12,3.66,"[(17, 2.49), (60, 2.94), (95, 3.49), (128, 2.2), (187, 2.7), (193, 2.65)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
5,8,95,3.49,"[(17, 2.49), (20, 3.31), (50, 3.31), (60, 2.94), (69, 2.11), (115, 3.19), (128, 2.2), (187, 2.7)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
5,9,20,3.31,"[(16, 2.59), (50, 3.31), (52, 2.92), (69, 2.11), (86, 2.54), (115, 3.19), (128, 2.2), (164, 2.51), (187, 2.7)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
5,10,50,3.31,"[(17, 2.49), (63, 2.35), (102, 2.59), (164, 2.51), (177, 3.43)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
5,11,177,3.43,"[(8, 2.33), (9, 2.28), (15, 2.14), (44, 2.58), (59, 2.26), (63, 2.35), (97, 3.69), (129, 2.4), (164, 2.51)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
5,12,97,3.69,"[(8, 2.33), (9, 2.28), (44, 2.58), (88, 3.49)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
5,13,88,3.49,"[(9, 2.28), (38, 2.66), (44, 2.58), (166, 2.0)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
5,14,38,2.66,"[(66, 2.66), (0, 3.03)]","[72, 162, 110, 190, 124, 196, 12, 95, 20, 50, 177, 97, 88, 38, 0]"
6,1,72,1.17,"[(37, 2.08), (43, 2.35), (55, 2.42), (67, 2.7), (87, 2.01), (107, 2.39), (108, 2.41), (112, 2.69), (162, 2.38)]","[72, 67, 112, 127, 74, 150, 163, 125, 93, 178, 19, 90, 0]"
6,2,67,2.7,"[(22, 2.55), (37, 2.08), (43, 2.35), (55, 2.42), (61, 2.44), (87, 2.01), (103, 2.58), (107, 2.39), (108, 2.41), (110, 1.83), (112, 2.69), (135, 2.51), (162, 2.38), (172, 2.47), (185, 2.68)]","[72, 67, 112, 127, 74, 150, 163, 125, 93, 178, 19, 90, 0]"
6,3,112,2.69,"[(22, 2.55), (103, 2.58), (108, 2.41), (110, 1.83), (127, 3.05), (130, 2.6), (135, 2.51), (160, 2.22), (172, 2.47), (185, 2.68), (199, 2.72)]","[72, 67, 112, 127, 74, 150, 163, 125, 93, 178, 19, 90, 0]"
6,4,127,3.05,"[(2, 2.99), (10, 2.45), (74, 3.18), (89, 2.84), (147, 2.78), (150, 2.98), (159, 2.23), (175, 2.41), (184, 2.55), (199, 2.72)]","[72, 67, 112, 127, 74, 150, 163, 125, 93, 178, 19, 90, 0]"
6,5,74,3.18,"[(10, 2.45), (26, 2.8), (65, 2.4), (113, 2.9), (145, 2.74), (147, 2.78), (150, 2.98), (159, 2.23)]","[72, 67, 112, 127, 74, 150, 163, 125, 93, 178, 19, 90, 0]"
6,6,150,2.98,"[(11, 2.42), (21, 2.25), (26, 2.8), (65, 2.4), (71, 2.85), (113, 2.9), (151, 2.15), (163, 2.94)]","[72, 67, 112, 127, 74, 150, 163, 125, 93, 178, 19, 90, 0]"
6,7,163,2.94,"[(11, 2.42), (21, 2.25), (51, 2.98), (71, 2.85), (81, 2.67), (113, 2.9), (125, 3.1), (151, 2.15)]","[72, 67, 112, 127, 74, 150, 163, 125, 93, 178, 19, 90, 0]"
6,8,125,3.1,"[(35, 3.1), (53, 2.82), (93, 3.57), (94, 3.3), (98, 3.31), (114, 2.41), (126, 2.85), (131, 3.09), (138, 2.51), (141, 2.93), (178, 3.54), (188, 2.42)]","[72, 67, 112, 127, 74, 150, 163, 125, 93, 178, 19, 90, 0]"
6,9,93,3.57,"[(19, 3.23), (35, 3.1), (38, 1.87), (40, 2.89), (53, 2.82), (134, 2.87), (141, 2.93), (142, 3.18), (158, 2.7), (166, 2.38), (169, 3.11), (178, 3.54)]","[72, 67, 112, 127, 74, 150, 163, 125, 93, 178, 19, 90, 0]"
6,10,178,3.54,"[(19, 3.23), (38, 1.87), (40, 2.89), (66, 3.11), (134, 2.87), (158, 2.7), (166, 2.38), (169, 3.11)]","[72, 67, 112, 127, 74, 150, 163, 125, 93, 178, 19, 90, 0]"
6,11,19,3.23,"[(38, 1.87), (40, 2.89), (66, 3.11), (90, 3.8), (169, 3.11)]","[72, 67, 112, 127, 74, 150, 163, 125, 93, 178, 19, 90, 0]"
6,12,90,3.8,"[(66, 3.11), (0, 3.43)]","[72, 67, 112, 127, 74, 150, 163, 125, 93, 178, 19, 90, 0]"
7,1,72,0.32,"[(37, 2.38), (43, 2.51), (55, 2.72), (67, 2.09), (87, 2.35), (107, 2.62), (108, 2.72), (112, 1.83), (162, 2.58)]","[72, 55, 199, 2, 89, 113, 39, 189, 75, 169, 0]"
7,2,55,2.72,"[(22, 3.02), (103, 2.9), (108, 2.72), (110, 2.01), (112, 1.83), (127, 2.29), (130, 3.07), (135, 2.92), (160, 2.53), (172, 2.58), (185, 2.98), (199, 3.2)]","[72, 55, 199, 2, 89, 113, 39, 189, 75, 169, 0]"
7,3,199,3.2,"[(2, 3.31), (10, 2.68), (74, 2.44), (89, 3.16), (145, 3.11), (147, 3.09), (150, 2.16), (159, 2.55), (175, 2.52)]","[72, 55, 199, 2, 89, 113, 39, 189, 75, 169, 0]"
7,4,2,3.31,"[(10, 2.68), (11, 2.78), (21, 2.42), (78, 2.59), (80, 2.98), (89, 3.16), (133, 2.79), (150, 2.16), (159, 2.55), (163, 2.18), (175, 2.52), (184, 2.67)]","[72, 55, 199, 2, 89, 113, 39, 189, 75, 169, 0]"
7,5,89,3.16,"[(11, 2.78), (21, 2.42), (51, 3.16), (71, 2.97), (80, 2.98), (81, 2.89), (113, 3.2), (150, 2.16), (151, 2.46), (153, 3.08), (163, 2.18)]","[72, 55, 199, 2, 89, 113, 39, 189, 75, 169, 0]"
7,6,113,3.2,"[(39, 3.51), (51, 3.16), (71, 2.97), (109, 2.88), (125, 2.43), (151, 2.46)]","[72, 55, 199, 2, 89, 113, 39, 189, 75, 169, 0]"
7,7,39,3.51,"[(68, 3.28), (94, 3.5), (104, 3.0), (109, 2.88), (114, 2.83), (118, 3.47), (179, 3.24), (189, 3.82)]","[72, 55, 199, 2, 89, 113, 39, 189, 75, 169, 0]"
7,8,189,3.82,"[(14, 2.99), (73, 2.97), (75, 3.77), (90, 3.09), (94, 3.5), (123, 2.9), (138, 2.87), (169, 3.38), (179, 3.24), (180, 2.8)]","[72, 55, 199, 2, 89, 113, 39, 189, 75, 169, 0]"
7,9,75,3.77,"[(14, 2.99), (19, 2.4), (40, 3.18), (66, 3.33), (90, 3.09), (123, 2.9), (141, 3.18), (169, 3.38)]","[72, 55, 199, 2, 89, 113, 39, 189, 75, 169, 0]"
7,10,169,3.38,"[(38, 2.35), (40, 3.18), (66, 3.33), (90, 3.09), (0, 3.9)]","[72, 55, 199, 2, 89, 113, 39, 189, 75, 169, 0]"
8,1,72,0.8,"[(37, 2.77), (43, 2.62), (55, 1.98), (67, 2.36), (87, 2.52), (107, 2.87), (108, 3.07), (112, 2.12), (162, 3.05)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
8,2,108,3.07,"[(13, 3.38), (22, 3.18), (103, 3.09), (110, 2.36), (127, 2.46), (135, 3.41), (160, 2.65), (172, 2.84), (185, 3.47), (190, 2.74), (199, 2.68)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
8,3,185,3.47,"[(2, 2.58), (13, 3.38), (22, 3.18), (31, 3.39), (103, 3.09), (127, 2.46), (135, 3.41), (147, 3.26), (160, 2.65), (172, 2.84), (175, 2.71), (190, 2.74), (199, 2.68)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
8,4,135,3.41,"[(10, 2.83), (22, 3.18), (103, 3.09), (127, 2.46), (130, 3.28), (147, 3.26), (160, 2.65), (172, 2.84), (175, 2.71), (199, 2.68)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
8,5,130,3.28,"[(10, 2.83), (74, 2.71), (127, 2.46), (145, 3.23), (147, 3.26), (150, 2.57), (159, 2.84), (175, 2.71), (199, 2.68)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
8,6,147,3.26,"[(2, 2.58), (10, 2.83), (11, 3.03), (21, 2.74), (89, 2.33), (149, 3.57), (150, 2.57), (159, 2.84), (163, 2.63), (175, 2.71), (184, 2.97)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
8,7,149,3.57,"[(2, 2.58), (21, 2.74), (78, 3.02), (80, 3.34), (81, 3.26), (89, 2.33), (124, 2.94), (133, 3.05), (153, 3.22), (175, 2.71), (184, 2.97), (196, 2.81)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
8,8,80,3.34,"[(11, 3.03), (21, 2.74), (51, 3.34), (81, 3.26), (99, 3.17), (163, 2.63), (196, 2.81)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
8,9,51,3.34,"[(93, 3.08), (98, 4.07), (99, 3.17), (109, 3.25), (125, 2.57), (126, 3.13), (131, 3.47), (188, 3.24), (193, 3.47)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
8,10,98,4.07,"[(19, 2.72), (35, 3.77), (38, 2.67), (40, 3.62), (53, 3.6), (73, 3.3), (93, 3.08), (138, 3.31), (141, 3.59), (142, 3.76), (169, 2.71), (178, 3.12), (180, 3.2)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
8,11,35,3.77,"[(19, 2.72), (38, 2.67), (40, 3.62), (53, 3.6), (88, 3.47), (134, 3.46), (141, 3.59), (142, 3.76), (158, 3.52), (166, 3.24), (169, 2.71), (178, 3.12)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
8,12,142,3.76,"[(8, 3.15), (19, 2.72), (38, 2.67), (40, 3.62), (88, 3.47), (134, 3.46), (141, 3.59), (158, 3.52), (166, 3.24), (169, 2.71), (178, 3.12)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
8,13,40,3.62,"[(38, 2.67), (66, 3.58), (90, 3.48), (0, 4.27)]","[72, 108, 185, 135, 130, 147, 149, 80, 51, 98, 35, 142, 40, 0]"
9,1,72,0.99,"[(37, 2.93), (43, 2.91), (55, 2.4), (67, 2.84), (87, 2.9), (107, 3.33), (108, 2.38), (112, 2.49), (162, 3.25)]","[72, 107, 103, 22, 10, 26, 65, 71, 109, 94, 53, 66, 0]"
9,2,107,3.33,"[(22, 3.29), (55, 2.4), (103, 3.47), (108, 2.38), (110, 2.49), (112, 2.49), (127, 2.79), (130, 2.69), (135, 2.56), (160, 2.97), (172, 3.22), (185, 2.83), (199, 2.9)]","[72, 107, 103, 22, 10, 26, 65, 71, 109, 94, 53, 66, 0]"
9,3,103,3.47,"[(10, 3.23), (22, 3.29), (127, 2.79), (130, 2.69), (147, 2.64), (160, 2.97), (172, 3.22), (175, 3.14), (199, 2.9)]","[72, 107, 103, 22, 10, 26, 65, 71, 109, 94, 53, 66, 0]"
9,4,22,3.29,"[(2, 2.72), (10, 3.23), (127, 2.79), (130, 2.69), (147, 2.64), (160, 2.97), (175, 3.14), (199, 2.9)]","[72, 107, 103, 22, 10, 26, 65, 71, 109, 94, 53, 66, 0]"
9,5,10,3.23,"[(11, 3.26), (26, 3.98), (65, 3.57), (71, 3.51), (89, 2.75), (113, 2.55), (145, 3.52), (150, 2.99), (151, 2.93), (163, 2.9), (184, 3.28)]","[72, 107, 103, 22, 10, 26, 65, 71, 109, 94, 53, 66, 0]"
9,6,26,3.98,"[(39, 3.1), (65, 3.57), (71, 3.51), (113, 2.55), (116, 3.09), (151, 2.93), (163, 2.9), (174, 2.86)]","[72, 107, 103, 22, 10, 26, 65, 71, 109, 94, 53, 66, 0]"
9,7,65,3.57,"[(39, 3.1), (71, 3.51), (113, 2.55), (116, 3.09), (151, 2.93), (174, 2.86)]","[72, 107, 103, 22, 10, 26, 65, 71, 109, 94, 53, 66, 0]"
9,8,71,3.51,"[(39, 3.1), (51, 2.56), (109, 3.6), (125, 2.87), (126, 3.46), (151, 2.93)]","[72, 107, 103, 22, 10, 26, 65, 71, 109, 94, 53, 66, 0]"
9,9,109,3.6,"[(53, 3.83), (73, 3.55), (93, 3.27), (94, 4.22), (98, 3.57), (114, 3.51), (125, 2.87), (126, 3.46), (131, 3.81), (138, 3.46), (141, 3.81), (179, 3.65)]","[72, 107, 103, 22, 10, 26, 65, 71, 109, 94, 53, 66, 0]"
9,10,94,4.22,"[(14, 3.66), (19, 3.0), (35, 2.94), (40, 2.75), (53, 3.83), (73, 3.55), (75, 3.19), (93, 3.27), (98, 3.57), (138, 3.46), (141, 3.81), (169, 2.89), (178, 3.57), (180, 3.43)]","[72, 107, 103, 22, 10, 26, 65, 71, 109, 94, 53, 66, 0]"
9,11,53,3.83,"[(19, 3.0), (38, 2.89), (40, 2.75), (66, 4.07), (134, 3.57), (141, 3.81), (142, 3.04), (158, 3.69), (166, 3.52), (169, 2.89), (178, 3.57)]","[72, 107, 103, 22, 10, 26, 65, 71, 109, 94, 53, 66, 0]"
9,12,66,4.07,"[(0, 4.65)]","[72, 107, 103, 22, 10, 26, 65, 71, 109, 94, 53, 66, 0]"
10,1,72,1.31,"[(37, 3.25), (43, 3.34), (55, 2.82), (67, 3.03), (87, 3.35), (107, 2.43), (108, 2.79), (112, 2.85), (162, 3.74)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
10,2,162,3.74,"[(22, 2.58), (37, 3.25), (43, 3.34), (55, 2.82), (61, 3.26), (87, 3.35), (103, 2.94), (107, 2.43), (108, 2.79), (110, 2.88), (112, 2.85), (135, 3.04), (160, 3.35), (172, 3.63), (185, 3.2)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
10,3,172,3.63,"[(2, 2.99), (22, 2.58), (31, 4.06), (127, 2.91), (147, 2.81), (149, 3.01), (160, 3.35), (175, 3.64), (190, 3.51), (199, 3.24)]","[72, 162, 172, 31, 58, 191, 121, 49, 120, 32, 52, 129, 9, 0]"
